path,rel_path,label,label_name,pair,generator_id,benchmark,missing,content_path,target
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\0MPSYshRlms-Scene-017.mp4,Pair1\vript\vript\0MPSYshRlms-Scene-017.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_0MPSYshRlms-Scene-017.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\02822___4ZeNq6s_aX4.0_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\02822___4ZeNq6s_aX4.0_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_02822__4ZeNq6s_aX4.0_0.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\09660___HXdDdnHBNfg.7_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\09660___HXdDdnHBNfg.7_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_09660__HXdDdnHBNfg.7_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\06296___6VGXxUfYRVc.15_4.mp4,Pair2\hd_vg_130m\hd_vg_130m\06296___6VGXxUfYRVc.15_4.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_06296__6VGXxUfYRVc.15_4.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\00462___37lDTC7pDtg.11_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\00462___37lDTC7pDtg.11_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_00462__37lDTC7pDtg.11_0.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-hoUDV8bdpA-Scene-002.mp4,Pair1\vript\vript\-hoUDV8bdpA-Scene-002.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-hoUDV8bdpA-Scene-002.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\08345___B8v4LobEdFQ.10_2.mp4,Pair2\hd_vg_130m\hd_vg_130m\08345___B8v4LobEdFQ.10_2.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_08345__B8v4LobEdFQ.10_2.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\08041___A17cnUV_AGI.13_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\08041___A17cnUV_AGI.13_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_08041__A17cnUV_AGI.13_0.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\01533___1T5KOtow1WU.0_2.mp4,Pair2\hd_vg_130m\hd_vg_130m\01533___1T5KOtow1WU.0_2.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_01533__1T5KOtow1WU.0_2.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\09965___GfwQglHldVE.12_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\09965___GfwQglHldVE.12_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_09965__GfwQglHldVE.12_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-Xl33P57QOs-Scene-056.mp4,Pair1\vript\vript\-Xl33P57QOs-Scene-056.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-Xl33P57QOs-Scene-056.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\04zSZBpj4vs-Scene-008.mp4,Pair1\vript\vript\04zSZBpj4vs-Scene-008.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_04zSZBpj4vs-Scene-008.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-GFt-X9J04U-Scene-006.mp4,Pair1\vript\vript\-GFt-X9J04U-Scene-006.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-GFt-X9J04U-Scene-006.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\07309___5w58rwwmKjg.0_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\07309___5w58rwwmKjg.0_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_07309__5w58rwwmKjg.0_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\--FQi0TgjRU-Scene-042.mp4,Pair1\vript\vript\--FQi0TgjRU-Scene-042.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_--FQi0TgjRU-Scene-042.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\09822___Er7jN4fRi14.1_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\09822___Er7jN4fRi14.1_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_09822__Er7jN4fRi14.1_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-H22U5yUnqM-Scene-052.mp4,Pair1\vript\vript\-H22U5yUnqM-Scene-052.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-H22U5yUnqM-Scene-052.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\10710___D2cX-yme0gI.5_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\10710___D2cX-yme0gI.5_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_10710__D2cX-yme0gI.5_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\0CnsW0ZK2Uo-Scene-010.mp4,Pair1\vript\vript\0CnsW0ZK2Uo-Scene-010.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_0CnsW0ZK2Uo-Scene-010.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-JuE-FDLxXE-Scene-002.mp4,Pair1\vript\vript\-JuE-FDLxXE-Scene-002.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-JuE-FDLxXE-Scene-002.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-1RsCsSKt7A-Scene-104.mp4,Pair1\vript\vript\-1RsCsSKt7A-Scene-104.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-1RsCsSKt7A-Scene-104.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-48qmeLbPcw-Scene-022.mp4,Pair1\vript\vript\-48qmeLbPcw-Scene-022.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-48qmeLbPcw-Scene-022.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\03363___4ABLs6ojxLU.1_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\03363___4ABLs6ojxLU.1_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_03363__4ABLs6ojxLU.1_0.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-ubuwVaj9Ew-Scene-017.mp4,Pair1\vript\vript\-ubuwVaj9Ew-Scene-017.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-ubuwVaj9Ew-Scene-017.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\12066___CTATatgxb5U.3_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\12066___CTATatgxb5U.3_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_12066__CTATatgxb5U.3_0.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\08011___9xEOLs910lg.1_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\08011___9xEOLs910lg.1_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_08011__9xEOLs910lg.1_0.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-9OLmLzDvSo-Scene-007.mp4,Pair1\vript\vript\-9OLmLzDvSo-Scene-007.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-9OLmLzDvSo-Scene-007.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-ZBbU-LbO1Y-Scene-002.mp4,Pair1\vript\vript\-ZBbU-LbO1Y-Scene-002.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-ZBbU-LbO1Y-Scene-002.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\07449___8ScN3EXd7yE.10_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\07449___8ScN3EXd7yE.10_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_07449__8ScN3EXd7yE.10_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\13323___D6QL20dmmtQ.1_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\13323___D6QL20dmmtQ.1_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_13323__D6QL20dmmtQ.1_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-FjYy8xXm3w-Scene-074.mp4,Pair1\vript\vript\-FjYy8xXm3w-Scene-074.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-FjYy8xXm3w-Scene-074.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\06545___8BJoT-j_6Ac.4_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\06545___8BJoT-j_6Ac.4_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_06545__8BJoT-j_6Ac.4_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\--CXWZW1Hjs-Scene-012.mp4,Pair1\vript\vript\--CXWZW1Hjs-Scene-012.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_--CXWZW1Hjs-Scene-012.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-3Ql-TiUSfk-Scene-031.mp4,Pair1\vript\vript\-3Ql-TiUSfk-Scene-031.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-3Ql-TiUSfk-Scene-031.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\4fb2THzyrT0-Scene-062.mp4,Pair1\vript\vript\4fb2THzyrT0-Scene-062.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_4fb2THzyrT0-Scene-062.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\03993___4EnZuVca74Y.18_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\03993___4EnZuVca74Y.18_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_03993__4EnZuVca74Y.18_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-Z3priQFMeE-Scene-054.mp4,Pair1\vript\vript\-Z3priQFMeE-Scene-054.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-Z3priQFMeE-Scene-054.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-1xu0IP35FI-Scene-044.mp4,Pair1\vript\vript\-1xu0IP35FI-Scene-044.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-1xu0IP35FI-Scene-044.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\03271___3veDkO8Fxn4.3_3.mp4,Pair2\hd_vg_130m\hd_vg_130m\03271___3veDkO8Fxn4.3_3.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_03271__3veDkO8Fxn4.3_3.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\08395___AtQDdQA7rMo.0_2.mp4,Pair2\hd_vg_130m\hd_vg_130m\08395___AtQDdQA7rMo.0_2.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_08395__AtQDdQA7rMo.0_2.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\03427___0ZKKTxq8IGM.18_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\03427___0ZKKTxq8IGM.18_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_03427__0ZKKTxq8IGM.18_0.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\12514___CiiPykPGJGU.3_1.mp4,Pair2\hd_vg_130m\hd_vg_130m\12514___CiiPykPGJGU.3_1.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_12514__CiiPykPGJGU.3_1.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\01564___-Zi3kyUC8cY.3_2.mp4,Pair2\hd_vg_130m\hd_vg_130m\01564___-Zi3kyUC8cY.3_2.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_01564__-Zi3kyUC8cY.3_2.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\01723___22afd8zGhWU.11_2.mp4,Pair2\hd_vg_130m\hd_vg_130m\01723___22afd8zGhWU.11_2.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_01723__22afd8zGhWU.11_2.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair2\hd_vg_130m\hd_vg_130m\12226___EMYlVPjbIIM.0_0.mp4,Pair2\hd_vg_130m\hd_vg_130m\12226___EMYlVPjbIIM.0_0.mp4,0,real,Pair2,hd_vg_130m,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair2_hd_vg_130m_hd_vg_130m_12226__EMYlVPjbIIM.0_0.mp4,0
F:\MEngDatasets\GenVidBench\GenVidBench\Pair1\vript\vript\-Tznlx878UU-Scene-462.mp4,Pair1\vript\vript\-Tznlx878UU-Scene-462.mp4,0,real,Pair1,vript,GenVidBench,False,D:\HaitongNi\MEngProject_SecondBench\02_D3\cache\frames\real\Pair1_vript_vript_-Tznlx878UU-Scene-462.mp4,0
